temp,hum,pres
24.76,72.86,896.22
24.75,72.36,895.9
24.73,72.57,895.91
24.29,71.52,895.75
24.42,74.41,895.58
24.26,73.96,895.55
24.03,72.81,895.87
24.26,73.12,896.24
24.27,73.34,896.84
24.07,75.18,897.51
24.47,73.95,897.82
24.44,71.68,897.47
24.74,70.04,897.28
24.72,71.71,897.03
24.95,70.92,896.14
25.47,70.13,895.07
25.46,66.74,894.09
25.52,69.09,893.39
25.4,68.8,893.35
25.1,70.75,893.67
25.16,74.59,894.36
25.15,74.67,895.3
25.05,76.28,896.12
25.15,73.2,896.48
24.76,75.58,896.85
24.54,80.3,896.73
24.41,78.96,896.14
24.52,78.49,895.86
24.52,79.49,895.68
24.41,77.63,895.35
24.1,79.07,895.61
24.08,77.81,896.2
23.9,79.68,896.97
24.28,81.32,897.59
24.08,80.05,897.62
24.24,79.93,897.21
24.44,76.95,896.62
24.12,80.1,896.09
24.87,74.09,895.09
25.46,67.72,893.89
25.81,68.67,892.81
25.78,69.45,892.03
25.8,68.6,891.95
25.7,67.21,892.1
25.33,72.95,892.9
25.27,71.14,893.75
25.13,73.88,894.55
25.18,73.25,894.88
24.89,75.75,895.58
24.88,76.49,895.49
24.18,73.74,895.71
24.5,71.37,895.16
24.25,70.5,894.9
24.25,74.19,894.64
24.06,69.66,894.61
24.17,73.78,894.89
23.92,72.91,895.42
24.26,72.92,895.52
24.95,72.89,895.72
25.13,64.56,895.47
25.61,65.88,894.81
25.86,66.09,894.04
25.94,66.86,893.05
26.95,63,892.1
26.83,60.5,891.04
26.91,58.89,890.59
26.85,60.6,890.36
26.37,60.65,890.62
26.04,67.86,891.5
25.74,65.02,892.52
25.44,67.33,893.14
25.35,69.08,893.77
25.55,70.11,893.73
25.17,67.79,893.87
25.37,69.99,893.6
24.89,71.4,893.59
25.2,73.3,893.16
25.03,70.69,893.22
24.16,76.89,894.6
24.48,78.17,894.8
24.39,82.08,895.48
24.07,80.16,895.67
24.24,80.42,896.25
24.36,74.79,896
24.81,76.3,895.33
25.21,68.72,894.29
25.45,68.13,893.18
25.8,66.25,892.51
26.09,68.79,891.63
26.19,64.82,891.08
25.83,65.95,890.97
25.78,67.51,891.66
25.72,66.38,892.23
25.54,68.15,893.37
25.39,72.61,893.93
25.42,69.99,894.4
25.44,69.95,894.84
25.12,70.16,894.78
25.17,72.04,894.34
24.71,72.19,893.84
24.29,71,893.57
24.73,71.78,894.03
24.47,69.47,894.36
24.47,70.2,895.08
24.49,67.3,895.49
24.64,73.7,895.52
24.64,76.34,896.31
24.68,73.49,896.32
25.39,70.72,895.6
25.74,65.33,894.89
26.19,63.16,893.94
26.56,61.33,893.08
26.42,64.59,892.24
26.17,67.89,891.97
26.18,67.15,891.65
25.9,72.28,892.27
25.83,70.79,892.89
25.69,69.95,893.55
25.46,73.42,894.35
25.46,74.4,894.61
25.16,71.81,894.98
24.97,73.3,894.5
25.04,69.56,894.19
24.93,71.73,893.51
24.88,71.23,893.11
24.66,70.03,893.64
24.94,71.71,894.02
24.34,72.76,894.57
24.69,72.84,895.04
24.32,74.99,895.28
24.34,74.53,895.92
24.6,73.13,895.99
25.13,68,895.71
24.77,69.76,895.39
25.38,73.34,894.31
26.12,67.31,892.88
26.31,67.43,891.68
26.5,67.57,890.89
26.42,68.63,890.99
26.01,71.62,891.74
25.93,74.22,892.85
25.87,74.62,893.71
25.58,71.19,894.54
25.62,72.52,895.09
25.34,73.14,895.28
25.39,74.32,894.79
24.73,75.44,894.65
24.3,77.49,894.45
24.74,77.45,893.72
24.47,77.27,894.47
24.73,78.5,894.52
23.74,78.39,895.4
24.32,77.81,895.87
24.22,79.74,896.23
23.33,78.44,896.83
23.46,77.78,896.59
23.62,79.16,895.5
23.83,81.19,894.63
24.99,73.78,893.45
25.15,68.03,892.31
25.15,73.08,891.34
25.5,72.04,890.7
25.32,70.67,890.67
25.18,73.95,890.81
24.65,75.38,891.59
24.78,73.84,892.33
24.4,71.46,893.24
24.49,72.72,893.76
24.63,71.12,893.76
24.71,70.53,893.55
24.59,68.91,893.19
24.37,70.57,892.91
24.52,67.76,892.35
24.27,68.98,892.77
24.03,68.68,892.91
24.15,71.14,893.08
23.96,65.27,893.48
24.08,71.62,894.27
24.39,67.99,894.48
24.97,65.26,894.46
25.44,66.56,894.18
25.81,64.54,893.47
26.09,62.9,892.87
26.2,65.39,892.08
26.17,66.28,891.14
26.71,59.89,890.84
26.37,59.73,891.03
26.05,65.6,891.76
25.61,66.49,892.42
25.6,63.84,892.85
25.94,51.6,892.24
24.77,54.42,890.19
24.71,75.06,895.98
24.8,71.29,896.02
24.49,72.69,895.79
24.51,71.22,895.74
24.39,74.12,895.49
24.31,73.37,895.55
24.02,74.49,895.95
24.05,74.6,896.49
23.83,71.83,897.11
24.7,74.34,897.71
24.31,71.84,897.89
24.6,69.51,897.31
24.8,70.78,897.2
24.7,72.13,896.83
25.17,69.53,895.81
25.43,67.91,894.77
25.33,71.18,893.59
25.43,68.48,893.28
25.23,70.14,893.59
25.14,70.53,893.77
25.23,73.69,894.74
25.09,71.03,895.54
24.99,76.74,896.23
25.16,76.99,896.67
24.16,79.3,896.81
24.34,78.27,896.63
24.39,78.11,895.94
24.48,78.02,895.86
24.25,78.02,895.63
24.33,77.14,895.24
24.02,78.16,895.82
23.84,78.67,896.46
24.31,77.33,897.23
24.18,79.92,897.63
24.18,79.09,897.47
24.27,78.2,897.09
24.4,76.76,896.47
24.47,75.58,895.94
25.05,67.72,894.72
25.5,69.97,893.35
25.8,70.08,892.52
25.7,69.05,891.89
25.66,69.52,892.01
25.47,74.31,892.23
25.24,70.57,893.15
25.29,76.52,894.17
25.01,72.87,894.63
25.21,75.29,895
25.09,76.47,895.6
24.49,78.41,896.05
24.2,73.33,895.45
24.42,72.51,894.98
24.42,70.46,894.84
23.73,71.86,894.5
24.1,70.93,894.67
23.81,71.69,895.18
24.23,74.1,895.5
24.58,73.67,895.55
25.06,69.21,895.76
25.18,66.39,895.39
25.4,67.07,894.59
25.85,66.9,893.83
26.11,64.27,892.72
26.8,60.64,891.7
26.94,61.22,890.85
26.91,58.56,890.59
26.66,58.18,890.37
26.05,65.55,890.73
25.91,66.32,891.67
25.79,65.11,892.89
25.33,66.54,893.25
25.33,67.95,893.68
25.57,71.44,893.75
25,67.37,893.77
25.17,70.17,893.71
25.29,70.39,893.39
25.16,70.16,893.25
25.12,74.58,893.42
24.64,75.73,894.4
24.4,78.13,895.17
24.5,81.18,895.44
24.16,80.52,896.02
24.3,77.09,896.25
24.47,74.4,895.76
25.16,70.01,894.96
25.38,69.82,893.96
25.33,67.59,892.95
26.06,67.08,892.07
25.95,66.09,891.34
26.04,66.09,890.99
25.86,65.02,891.15
25.61,69.13,891.87
25.53,71.85,892.68
25.52,73.48,893.56
25.22,69.94,894.16
25.35,69.12,894.46
25.4,71.82,894.8
25.21,71.03,894.93
25.18,73.16,894.14
24.8,68.54,893.71
24.81,71.31,893.66
24.61,74.14,894.1
24.56,70.62,894.56
24.58,71.77,895.02
24.44,68.55,895.48
24.67,69.93,895.76
24.88,70.65,896.4
24.8,70.47,896.09
25.21,68.4,895.32
25.73,69.56,894.54
26.09,64.85,893.73
26.34,65.77,892.92
26.31,65.61,892.01
26.38,65.94,891.63
26.18,70.57,891.83
25.9,68.23,892.47
25.78,71.11,893.01
25.55,71.08,893.68
25.32,71.18,894.42
25.39,71.85,894.52
25.19,71,895.18
25.05,72.65,894.36
25.13,71.34,894.01
25.11,70.26,893.34
24.99,71.12,893.28
24.8,74.66,893.82
24.73,71.91,894.08
24.84,72.87,894.86
24.56,78.31,895.03
24.78,73.47,895.51
24.29,73.08,895.92
25.01,68.97,895.85
24.87,67.27,895.7
24.93,73.77,895.02
25.56,70.59,893.86
26.21,65.83,892.58
26.34,66.03,891.28
26.57,67,890.79
26.27,69.87,891.25
25.94,73.66,892.03
26.04,72.97,893.37
25.81,75.88,893.81
25.49,74.31,894.69
25.58,75.31,895.23
25.2,74.26,894.97
25.37,73.62,894.41
24.27,77.31,894.62
24.25,79.36,894.42
24.75,77.56,893.61
24.53,77.23,894.5
23.9,79.11,894.75
24.57,77.09,895.32
24.24,78.85,896.2
24.2,76.14,896.37
23.69,77.61,897.07
23.56,77.87,896.39
23.48,82.61,895.23
24.24,80.77,894.37
24.94,71.8,892.89
25.14,70.27,891.96
25.02,73.51,891.08
25.22,70.8,890.53
25.16,71.01,890.66
25.03,74.07,891.15
24.77,75.17,891.71
24.62,74.8,892.75
24.43,73.77,893.37
24.67,72.58,893.77
24.56,70.04,893.66
24.74,71.53,893.36
24.57,69.14,893.24
24.51,72.56,892.7
24.48,68.27,892.58
24.16,69.69,892.88
23.81,67.86,892.82
24.09,68.35,893.18
23.94,67.39,893.81
24.21,71.65,894.39
24.68,66.59,894.53
25.18,63.84,894.42
25.71,66.19,894
25.97,62.79,893.21
26.16,61.83,892.65
26.23,63.05,891.81
26.55,60.65,890.94
26.54,60.75,890.79
26.3,59.68,891.27
26.04,62.74,891.81
25.55,66.46,892.63
25.9,51.55,892.24
26.2,72.68,896.19
24.54,73.26,895.91
24.76,72.58,896.03
24.42,73.08,895.65
24.5,71.81,895.77
24.29,74.17,895.6
24.31,72.41,895.61
24.05,72.63,896.11
24.21,72.62,896.57
24.03,73.4,897.26
24.56,72.42,897.81
24.26,71.49,897.69
24.72,71.12,897.23
24.61,72.67,897.13
24.94,69.98,896.48
25.47,69.26,895.52
25.45,66.03,894.46
25.55,66.97,893.53
25.48,68.37,893.34
25.17,70.35,893.56
25.05,71.17,893.98
25.22,76.44,894.94
25.02,73.32,895.78
25.04,74.15,896.4
24.92,74.87,896.56
24.24,81.02,896.84
24.25,78.87,896.36
24.43,80.06,895.9
24.41,76.98,895.85
24.38,78.24,895.4
24.06,76.98,895.4
24.11,77.33,896.08
24.18,78.29,896.65
23.98,78.65,897.47
23.95,80.04,897.54
24.02,81.56,897.38
24.2,76.89,896.95
24.56,77.1,896.28
24.91,74.82,895.56
25.39,69.11,894.29
25.51,70.26,893.1
25.88,69.55,892.21
25.8,66.54,891.87
25.78,68.54,892.07
25.35,71.49,892.56
25.37,71.92,893.47
25.21,74.81,894.46
25.08,77.99,894.76
25.2,75.74,895.3
24.81,75.11,895.63
24.79,76.03,896.1
24.46,72.64,895.35
24.51,70.43,894.95
23.95,71.67,894.7
24.33,71.59,894.56
24.02,72.17,894.73
24.13,72.55,895.36
24.12,73.04,895.49
24.65,72.05,895.54
25.16,72.26,895.58
25.54,65.28,895.15
25.98,63.79,894.16
26.01,64.78,893.36
26.51,64.01,892.43
26.65,61.14,891.33
26.91,59.44,890.67
26.7,60.54,890.4
26.62,58.5,890.46
26.13,62.96,891.13
25.78,68.81,892.08
25.67,67.54,892.99
25.45,66.18,893.56
25.36,71,893.8
25.37,68.69,893.81
25.29,67.35,893.66
25.18,69.71,893.67
25.19,70.79,893.2
24.84,70.43,893.48
24.17,75.16,894.05
24.61,76.56,894.47
24.1,79.34,895.22
23.97,80.25,895.4
24.19,80.7,896.12
24.29,76.26,896.08
24.82,78.83,895.55
25.36,74.85,894.66
25.51,68.62,893.53
25.6,66.55,892.72
25.85,65.95,891.8
25.9,65.17,891.31
25.88,66.48,890.91
25.88,63.73,891.3
25.65,66.18,892.1
25.58,68.4,893.13
25.37,75.92,893.93
25.32,72.38,894.27
25.23,71.26,894.66
25.2,72.38,894.87
25.19,73.4,894.55
25.1,74.77,894.02
24.83,71.74,893.53
24.84,71.48,893.79
24.6,71.95,894.23
24.38,70.57,894.83
24.92,70.15,895.21
24.51,69.88,895.52
24.41,73.34,896.13
24.84,69.27,896.5
24.82,72.21,895.81
25.29,68,895.19
26.11,70.6,894.19
26.38,64.3,893.4
26.26,65.91,892.67
26.12,66.34,891.99
26.29,66.83,891.64
26.03,67.56,892.2
25.81,68.99,892.72
25.82,71.75,893.15
25.43,69.48,894.05
25.23,71.63,894.56
25.25,73.48,894.57
25.1,71.83,894.9
25.17,72.46,894.25
25.09,70.44,893.57
25.05,71.1,893.22
25.01,70.63,893.52
24.87,73.52,894.05
24.87,73.4,894.3
25.1,72.81,894.98
24.7,82.61,895.09
24.47,74.51,895.84
24.38,71.97,896.05
25.08,70.75,895.83
24.79,67.01,895.65
25.24,73.73,894.65
25.8,71.1,893.37
26.32,69.42,892.18
26.48,66.5,891.07
26.49,66.94,890.88
26.18,71.19,891.45
25.99,75.99,892.38
25.95,74.83,893.56
25.65,75.51,894.23
25.5,76.2,894.93
25.69,73.92,895.32
25.54,73.81,894.91
25.1,71.45,894.49
24.43,77.44,894.65
24.51,77.95,894.07
24.51,76.14,894.28
24.5,77.05,894.35
24.08,78.59,895.07
24.66,77.7,895.63
24.19,76.38,896.3
23.9,75.29,896.44
23.41,78.38,896.8
23.5,80.66,896
23.44,80.56,895.04
24.59,76.74,893.91
25.28,66.85,892.5
25.02,72.11,891.68
25.16,72.05,890.8
25.3,69.22,890.53
25.27,72.77,890.68
24.77,73.61,891.32
24.82,75.96,892.01
24.58,71.54,893.07
24.25,70.58,893.56
24.45,70.55,893.75
24.73,71.92,893.72
24.69,71.1,893.21
24.58,71.21,893.13
24.5,69.15,892.51
24.38,71.95,892.61
24,69.03,892.84
24.03,68.14,892.93
24.47,65.47,893.22
23.91,69.29,894.18
24.22,71.31,894.42
24.84,62.16,894.48
25.23,66.27,894.37
25.72,64.1,893.7
26.16,66.09,893
26.13,63.54,892.38
26.24,65.08,891.5
26.56,60.48,890.83
26.39,60.7,890.82
26.17,60.83,891.52
25.83,62.89,892.18
25.67,63.4,892.72
25.89,51.57,892.24
24.77,71.57,896.22
24.77,73.52,895.87
24.77,75.79,895.88
24.41,70.8,895.72
24.55,72.53,895.66
24.36,73.11,895.55
24.14,72.49,895.79
24.17,72.94,896.08
24.2,73.33,896.63
23.92,74.03,897.39
24.45,72.43,897.75
24.32,71.23,897.57
24.74,69.5,897.25
24.65,71.28,897.09
24.89,69.39,896.35
25.36,69.81,895.26
25.56,67.58,894.2
25.42,68.35,893.46
25.45,68.01,893.33
25.19,69.02,893.6
25.14,70.87,894.2
25.12,71.85,895.16
25.08,74.36,895.96
25,73.33,896.48
24.7,75.46,896.7
24.62,77.99,896.79
24.45,79.29,896.26
24.44,79.35,895.88
24.49,79.29,895.8
24.34,78.17,895.4
24.24,76.63,895.54
24.22,78.82,896.18
24.38,78.91,896.84
24.08,80.05,897.54
23.97,79.52,897.55
24.13,79.92,897.33
24.54,72.79,896.75
24.27,78.65,896.23
24.89,76.36,895.26
25.53,67.93,894.16
25.78,68.24,892.96
25.87,68.84,892.09
25.78,66.72,891.87
25.66,66.26,892.06
25.4,69.7,892.69
25.3,71.78,893.61
25.14,72.36,894.53
25.12,75.1,894.88
24.71,74.95,895.44
24.96,77.22,895.62
24.29,72.1,895.91
24.54,72.73,895.3
24.39,70.43,894.91
23.94,72.83,894.64
24.11,73.13,894.58
24.08,74.35,894.85
23.73,73.08,895.35
24.19,72.43,895.52
24.79,74.58,895.59
25.23,62.95,895.5
25.44,67.04,894.98
25.95,65.16,894.11
25.94,67.79,893.21
26.6,62.5,892.28
26.68,61.57,891.19
26.9,59.49,890.62
26.76,59.24,890.43
26.51,63.51,890.52
26.07,64.18,891.3
25.76,66.98,892.26
25.56,66.04,893.11
25.34,66.38,893.72
25.53,68.27,893.7
25.24,71.11,893.96
25.42,70.01,893.67
25.21,69.46,893.56
25.15,70.88,893.22
25.01,70.26,893.44
24.23,75.52,894.31
24.44,76.8,894.74
24.11,79.73,895.39
23.96,79.72,895.46
24.3,78.06,896.27
24.23,76.46,896.06
24.78,74.38,895.48
25.06,72.01,894.47
25.47,69.89,893.3
25.72,64.85,892.58
25.86,68.09,891.65
26.11,65.22,891.18
25.87,67.47,890.94
25.81,66.43,891.5
25.64,66.98,892.11
25.59,67.97,893.29
25.36,72.6,894.01
25.31,72.58,894.29
25.33,71.21,894.77
25.24,73.32,894.74
25.16,71.55,894.42
25.03,72.92,893.92
24.68,69.31,893.61
24.75,69.7,893.87
24.5,70.68,894.28
24.4,69.07,894.98
24.46,67.23,895.38
24.46,69.38,895.45
24.48,74.04,896.23
24.99,72.37,896.41
25.17,70.16,895.64
25.48,69.4,895.01
26.23,66,894.06
26.23,64.9,893.27
26.29,65.53,892.47
26.1,66.1,891.99
26.27,67.54,891.62
25.98,67.1,892.25
25.82,70.99,892.8
25.77,70.66,893.34
25.46,72.05,894.1
25.22,70.38,894.63
25.31,71.73,894.75
25.24,74.37,894.63
25.17,71.85,894.29
25.03,70.04,893.62
24.7,70.15,893.16
24.98,74.98,893.52
24.89,71.61,894.07
24.87,72.28,894.44
24.57,72.97,894.97
24.73,77.86,895.13
24.33,76.4,895.89
24.4,74.15,896.02
24.9,69.57,895.73
24.77,70.47,895.56
25.25,74.38,894.55
25.72,69.13,893.11
26.27,68.82,891.9
26.5,66.47,890.94
26.54,68.97,891
26.07,71.59,891.55
25.95,73.16,892.55
25.88,76.59,893.64
25.66,75.64,894.43
25.51,73.31,894.99
25.19,72.8,895.37
25.56,73.32,894.96
24.84,71.8,894.81
24.48,78.84,894.57
24.45,78.04,893.88
24.31,77.41,894.32
24.72,78.34,894.53
24.11,79.02,895.13
24.28,75.87,895.75
24.23,77.58,896.26
23.45,78.5,896.63
23.38,78.13,896.71
23.44,77.28,895.75
23.71,79.42,894.85
24.85,77.88,893.71
25.35,68.04,892.48
25.32,72.23,891.43
25.32,69.47,890.7
25.42,72.42,890.63
25.22,72.94,890.72
24.61,75.74,891.48
24.79,76.03,892.17
24.57,71.85,893.14
24.48,72.25,893.68
24.48,72.74,893.68
24.76,71.43,893.64
24.67,71.01,893.19
24.49,70.3,893.08
24.51,69.28,892.48
24.31,70.33,892.69
24.15,70.45,892.93
24.04,68.56,893.06
24.37,66.33,893.29
23.91,68.53,894.21
24.13,69.33,894.49
24.89,67.06,894.48
25.54,65.66,894.34
25.71,65.48,893.6
25.97,64.39,892.91
26.13,64.77,892.22
26.2,63.95,891.34
26.48,61.28,890.77
26.44,60.52,890.85
26.1,61.16,891.59
25.74,63.43,892.28
25.66,66.01,892.71
25.92,51.58,892.24
26.52,69.78,896.21
24.71,73.2,895.93
24.75,73.21,896.06
24.45,72.38,895.71
24.49,70.87,895.77
24.38,72.94,895.54
24.28,72.67,895.51
24.09,74,896
24.04,74.08,896.62
24.06,73.69,897.18
24.6,73.25,897.77
24.21,72.83,897.87
24.6,68.18,897.19
24.94,68.73,897.12
24.93,68.95,896.67
25.43,69.49,895.64
25.45,67.53,894.61
25.43,69.99,893.56
25.41,68.33,893.33
25.2,71.19,893.51
25.08,71.45,893.84
25.23,75.52,894.88
25.09,72.68,895.62
24.79,75.53,896.31
25.09,75.71,896.63
23.84,80.57,896.78
24.46,78.92,896.56
24.44,78.05,895.88
24.35,78.64,895.85
24.36,77.55,895.45
24.2,77.09,895.2
23.81,79.4,895.93
24.05,78.99,896.61
24.29,79.47,897.38
24.23,82.6,897.56
24.17,78.62,897.43
24.18,78.41,897.07
24.46,77.01,896.36
24.77,74.6,895.83
25.14,71.16,894.51
25.43,71.28,893.25
25.89,68.5,892.37
25.73,67.18,891.83
25.76,69.57,891.96
25.4,70.04,892.31
25.39,73.31,893.3
25.23,72.9,894.41
25.02,72.75,894.66
25.23,73.67,895.13
25.04,78.79,895.63
24.76,74.2,896.04
24.29,72.61,895.34
24.54,71.17,894.94
24.36,72.45,894.72
24.23,73.02,894.58
24.06,72.45,894.68
24.12,73.87,895.28
24.26,73.62,895.6
24.62,74.03,895.52
25.13,64.53,895.68
25.44,66.19,895.27
25.72,64.21,894.36
25.87,66.03,893.63
26.41,63.6,892.56
26.51,61.97,891.51
27.01,59.15,890.7
26.72,59.07,890.42
26.71,59.66,890.39
26.09,64.59,890.95
25.83,63.92,891.85
25.73,67.15,892.93
25.45,68.26,893.43
25.44,66.86,893.78
25.5,71.97,893.8
25.35,67.79,893.72
25.33,70.37,893.54
25.06,69.41,893.38
24.67,69.65,893.36
24.59,70.91,893.89
24.21,78.37,894.49
24.56,78.55,895.21
24.51,79.49,895.3
24.33,81.85,896.11
24.43,77.43,896.16
24.75,74.29,895.67
25.06,73.81,894.82
25.6,67.59,893.67
25.4,69.53,892.81
25.82,65.03,892
25.94,67.4,891.36
26.01,62.37,890.95
25.78,68.42,891.29
25.69,70.36,891.99
25.56,67.89,892.9
25.47,69.71,893.79
25.31,73.29,894.25
25.25,72.65,894.63
25,70.82,894.86
25.22,73.39,894.69
25.16,71.65,894.1
24.89,72.77,893.59
24.8,70.11,893.81
24.66,71.24,894.16
24.33,69.19,894.64
24.66,67.25,895.23
24.44,71.72,895.4
24.42,70.75,895.91
24.81,67.55,896.43
24.87,72.06,895.9
25.23,71,895.35
26,66.54,894.32
26.27,65.79,893.51
26.34,66.63,892.82
26.28,65.17,891.97
26.37,64.66,891.6
26.12,69.15,891.94
25.83,69.97,892.6
25.84,69.4,892.98
25.5,76.39,893.85
25.41,73.75,894.54
25.35,70.49,894.56
25.2,73.33,895.18
25.15,72.21,894.36
25.1,70.79,893.75
25.05,70.25,893.35
24.99,70.81,893.36
24.77,71.33,893.89
24.89,75.44,894.2
24.67,72.73,894.92
24.46,80.2,895.08
24.61,73.16,895.57
24.24,74.17,896.05
25.09,68.04,895.85
24.77,67.56,895.68
25.07,74,894.9
25.78,69.63,893.64
26.26,67.61,892.42
26.4,65.25,891.12
26.57,67.34,890.84
26.27,70.5,891.39
25.95,73.55,892.15
26.03,73.91,893.49
25.86,74.69,894.09
25.57,72.08,894.9
25.68,76.29,895.35
25.5,73.98,895.1
25.07,69.78,894.41
24.5,77.02,894.35
24.79,76.74,894.27
24.8,76.18,893.8
24.41,77.37,894.28
24,79.28,895.04
24.3,76.93,895.41
24.11,79.44,896.32
24.03,75.89,896.33
23.57,77.96,896.82
23.38,80.28,896.19
23.49,81.23,895.15
24.42,76.86,894.13
25.03,69.99,892.62
25.12,69.09,891.83
25.19,70.19,890.97
25.2,70.03,890.52
25.24,70.92,890.66
24.94,74.8,891.24
24.68,73.58,891.8
24.64,70.53,892.94
24.39,70.71,893.49
24.58,72.12,893.79
24.71,71.01,893.76
24.74,70.17,893.29
24.53,71.96,893.24
24.47,69.14,892.56
24.42,67.58,892.53
24.16,70.11,892.92
24.04,70.07,892.94
24.19,69.28,893.18
23.98,67.04,893.99
24.18,70.52,894.48
24.83,65.96,894.43
25.24,65.27,894.38
25.68,66.53,893.83
26.14,63.75,893.14
26.19,63.24,892.55
26.15,61.03,891.65
26.54,63.7,890.91
26.44,64.49,890.74
26.2,60.28,891.41
25.97,62.63,892.02
25.64,68.03,892.68
25.96,51.57,892.24
24.45,63.84,890.18
24.67,72.52,896.13
24.73,74.09,895.99
24.38,70.87,895.88
24.49,70.67,895.78
24.16,73.49,895.56
24.29,75.09,895.55
24.05,73.05,895.9
24.27,72.94,896.31
24.02,72.14,896.98
23.9,77.88,897.59
24.4,72.85,897.86
24.51,71.93,897.42
24.67,72.21,897.26
24.79,71.37,896.94
25.02,72.7,895.95
25.25,70.72,894.96
25.39,68.58,893.83
25.44,69.33,893.31
25.25,70.19,893.45
25.13,71.18,893.76
25.19,74.5,894.61
25.16,72.73,895.48
25.07,75.8,896.16
25.19,75.27,896.57
24.82,77.94,896.88
24.55,79.83,896.73
24.12,78.04,895.99
24.53,77.01,895.92
24.38,78.85,895.71
24.45,77.56,895.26
24.14,77.76,895.75
24.05,79.82,896.36
24.12,81.74,897.11
24.28,81.72,897.66
23.98,80.18,897.54
24.03,76.12,897.13
24.47,78.22,896.54
24.21,80,896.02
24.95,73.36,894.94
25.41,70.02,893.58
25.85,68.64,892.61
25.63,69.5,891.94
25.75,67.57,891.97
25.59,70.24,892.13
25.09,73.98,892.96
25.25,73.82,893.9
25.16,74.99,894.51
25.14,75.68,894.92
25.07,75.87,895.59
24.65,76.44,895.9
24.15,71.8,895.57
24.36,71.8,895.06
24.25,71.45,894.82
24,73.35,894.49
24.1,74.12,894.63
24.25,72.42,895.04
24.1,73.98,895.49
24.37,72.5,895.57
25.01,67.56,895.77
25.23,67.07,895.46
25.53,67.59,894.74
25.79,66.53,893.95
26.18,67.76,892.9
26.89,63.62,891.91
26.78,62.89,890.91
26.78,59.79,890.61
26.79,60.06,890.29
26.28,64.98,890.7
25.88,67.34,891.59
25.86,70.05,892.79
25.45,67.58,893.2
25.4,70.01,893.77
25.54,70.2,893.77
24.99,67.2,893.85
25.4,70.7,893.72
25.21,71.29,893.4
25.03,70.48,893.23
24.97,69.95,893.36
24.33,76.14,894.64
24.18,78.9,895.01
24.18,80.31,895.6
24.12,80.59,895.87
24.18,77.46,896.23
24.61,75.09,895.87
25,73.45,895.1
25.24,69.57,894.19
25.37,67.92,893.03
25.84,66.62,892.26
26.01,66.3,891.45
26.08,63.65,891
25.92,66.06,891.03
25.68,65.97,891.67
25.72,70.69,892.54
25.49,70.43,893.41
25.2,73.41,894.13
25.3,69.22,894.31
25.31,71.89,894.8
25.3,73.67,894.79
25.18,71.61,894.31
24.97,70.2,893.77
24.77,70.37,893.61
24.74,71.76,894.14
24.52,71.32,894.49
24.51,69.25,895.07
24.31,68.09,895.51
24.71,70.37,895.54
24.58,75.14,896.43
24.59,76.38,896.27
25.63,66.65,895.49
25.59,69.08,894.76
26.07,65.26,893.87
26.5,62.74,892.99
26.33,64.28,892.14
26.27,68.32,891.74
26.14,68.23,891.75
26.07,68.97,892.42
25.72,71.12,892.97
25.54,70.54,893.58
25.45,70.86,894.37
25.41,70.66,894.56
25.17,70.59,895.12
25.1,73.82,894.4
25.14,69.6,894.03
25.03,73.11,893.41
25.03,72.15,893.23
24.79,72.67,893.75
24.93,76.53,894.08
24.67,71.82,894.67
24.64,73.46,895.04
24.41,75.72,895.34
24.47,76.76,895.9
24.6,71.39,896.03
24.9,67.19,895.74
24.93,70.18,895.18
25.61,72.93,894.12
26.13,66.45,892.75
26.27,66.26,891.42
26.45,65.87,890.84
26.3,69.5,891.05
25.95,74.25,891.87
25.88,73.71,893.11
25.8,73.34,893.78
25.38,74.19,894.65
25.68,72.1,895.13
25.6,74.48,895.14
25.17,73.39,894.61
24.14,76.37,894.72
24.23,78.17,894.36
24.37,77.48,893.48
24.46,77.22,894.44
24.34,78.21,894.59
24.36,77.49,895.34
24.14,78.44,896.05
24.13,78.06,896.39
23.64,77.5,897.03
23.47,77.08,896.55
23.56,81.12,895.39
24.03,77.46,894.48
25.09,70.7,893.13
24.89,68.62,892.19
25.05,74.34,891.19
25.3,69.24,890.62
25.23,71.79,890.67
25.07,75.92,890.94
24.55,74.55,891.67
24.73,73.71,892.51
24.34,70.5,893.3
24.45,73.18,893.77
24.72,71.57,893.73
24.71,72.52,893.42
24.6,71.76,893.14
24.44,69.28,892.84
24.45,68.95,892.55
24.32,68.87,892.8
23.92,67.27,892.89
24.09,69.74,893.13
23.88,64.6,893.75
24.09,70.82,894.37
24.54,65.35,894.54
25.19,65.56,894.45
25.6,65.19,894.12
25.88,65.99,893.35
26.14,60.94,892.83
26.18,63.59,892.01
26.46,61.98,891.04
26.59,63.91,890.81
26.27,60.19,891.17
26.06,60.88,891.71
